,ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
1,7358,EAST PEN ISLAND,Ontario,6012227,7370,NA,NA,56.77,-88.78,564600000,-884700000,11,1974,1974,1974,1974,NA,NA,NA,NA
2,7361,FORT SEVERN A,Ontario,6012500,45447,NA,YER,56.02,-87.68,560108000,-874034000,15.8,2006,2013,2006,2013,2006,2013,NA,NA
3,7362,FORT SEVERN A,Ontario,6012501,51219,71099,YER,56.02,-87.68,560108000,-874034000,15.8,2013,2016,2013,2016,2013,2016,NA,NA
4,7425,SEVERN RIVER (AUT),Ontario,601P68B,10726,NA,NA,55.38,-88.33,552300000,-882000000,56.4,1994,1995,1994,1995,NA,NA,NA,NA
5,7405,WINISK,Ontario,6019548,3925,NA,NA,55.27,-85.22,551600000,-851300000,12.2,1968,1979,NA,NA,1968,1979,1968,1978
6,7406,WINISK (AUT),Ontario,6019549,7578,NA,NA,55.23,-85.12,551400000,-850700000,13,1981,1986,1981,1986,NA,NA,NA,NA
7,7407,WINISK A,Ontario,6019550,3926,NA,NA,55.23,-85.12,551400000,-850700000,12.8,1957,1965,1957,1965,1959,1965,1959,1965
8,7377,PEAWANUCK  CLDN,Ontario,6016294,30189,NA,NA,55.01,-85.42,550048000,-852524000,52.1,NA,NA,NA,NA,NA,NA,NA,NA
9,7379,PEAWANUCK A,Ontario,6016298,52878,NA,YPO,54.99,-85.44,545917000,-852636000,52.7,2014,2016,2014,2016,NA,NA,NA,NA
10,7378,PEAWANUCK (AUT),Ontario,6016295,10197,71434,WWN,54.98,-85.43,545900000,-852600000,52.7,1994,2016,1994,2016,1994,2016,2003,2006
11,7418,SACHIGO RIVER,Ontario,601GBG0,7364,NA,NA,54.82,-89.33,544900000,-892000000,121.9,NA,NA,NA,NA,NA,NA,NA,NA
12,7344,AGUSK LAKE,Ontario,6010082,7572,NA,NA,54.67,-89.48,544000000,-892900000,152.4,NA,NA,NA,NA,NA,NA,NA,NA
13,7389,RANGER LAKE,Ontario,6016883,7576,NA,NA,54.57,-87.38,543400000,-872300000,109.7,NA,NA,NA,NA,NA,NA,NA,NA
14,7431,WINISK RIVER,Ontario,601R553,7571,NA,NA,54.55,-87.27,543300000,-871600000,106.7,NA,NA,NA,NA,NA,NA,NA,NA
15,7417,SACHIGO LAKE,Ontario,601GB70,7365,NA,NA,53.88,-92.15,535300000,-920900000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
16,7402,TROUT LAKE,Ontario,6018948,7375,NA,NA,53.87,-89.77,535200000,-894600000,343.8,NA,NA,NA,NA,NA,NA,NA,NA
17,7350,BIG TROUT LAKE,Ontario,6010738,3914,NA,NA,53.83,-89.87,535000000,-895200000,224.1,1939,1992,1953,1992,1939,1992,1939,1992
18,7348,BIG TROUT LAKE A,Ontario,6010735,49488,71675,YTL,53.82,-89.9,534904000,-895349000,222.5,2011,2016,2011,2016,2011,2016,NA,NA
19,7351,BIG TROUT LAKE READAC,Ontario,6010739,10804,NA,TBL,53.82,-89.9,534856000,-895344000,222.2,1992,2013,1994,2013,1992,2013,NA,NA
