ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
8110,COBDEN ONTARIO HYDRO,Ontario,6101675,4251,NA,NA,45.63,-76.87,453800000,-765200000,140.2,1983,1986,NA,NA,1983,1986,1983,1986
8187,L ORIGNAL,Ontario,6104613,7674,NA,NA,45.63,-74.9,453800000,-745400000,61,NA,NA,NA,NA,NA,NA,NA,NA
8158,HAWKESBURY,Ontario,6103390,4288,NA,NA,45.62,-74.63,453700000,-743800000,45.7,1950,1963,NA,NA,1950,1963,1950,1963
8404,DUNCHURCH,Ontario,6112133,4441,NA,NA,45.62,-79.88,453700000,-795300000,268.2,1973,2014,NA,NA,1973,2014,1973,2006
8055,MICHAELS BAY,Ontario,6095090,7655,NA,NA,45.6,-82.08,453600000,-820500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8378,BURKS FALLS,Ontario,6111045,4425,NA,NA,45.6,-79.57,453600000,-793400000,320,1888,1986,NA,NA,1888,1986,1888,1986
7983,ALGONQUIN PARK,Ontario,6080189,4187,NA,NA,45.58,-78.55,453500000,-783300000,432.5,1917,1960,NA,NA,1917,1960,1917,1960
8059,SOUTH BAYMOUTH,Ontario,6097915,4215,NA,NA,45.58,-82.02,453500000,-820100000,181.7,1954,1993,NA,NA,1954,1993,1954,1993
8103,CHENAUX,Ontario,6101494,4245,NA,NA,45.58,-76.68,453500000,-764100000,84.1,1950,1990,NA,NA,1950,1990,1950,1990
8380,BURK'S FALLS 2,Ontario,61110M6,4424,NA,NA,45.58,-79.6,453500000,-793600000,310,1988,1995,NA,NA,1988,1995,1988,1995
8436,KATRINE,Ontario,6114005,4462,NA,NA,45.58,-79.35,453500000,-792100000,299.9,1949,1949,NA,NA,1949,1949,1949,1949
8164,KILLALOE,Ontario,6104125,4293,NA,NA,45.57,-77.42,453400000,-772500000,174,1938,1972,1953,1972,1938,1972,1938,1972
8066,ALFRED,Ontario,6100176,42006,NA,TAE,45.56,-74.88,453318000,-745232000,57,2003,2007,2003,2007,2003,2007,NA,NA
8060,SOUTH BAYMOUTH,Ontario,609P9JD,9047,NA,NA,45.55,-82.02,453300000,-820100000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8064,ALFRED,Ontario,6100172,4219,NA,NA,45.55,-74.88,453300000,-745300000,54,1984,1986,NA,NA,1984,1986,1984,1985
8065,ALFRED AUTOMATIC CLIMATE STATION,Ontario,6100174,4220,NA,NA,45.55,-74.88,453300000,-745300000,54,1989,1989,NA,NA,1989,1989,1989,1989
8138,EGANVILLE,Ontario,6102250,4273,NA,NA,45.55,-77.1,453300000,-770600000,164.6,1956,1956,NA,NA,1956,1956,1956,1956
8139,EGANVILLE 2,Ontario,6102252,43600,NA,NA,45.55,-77.1,453253030,-770610090,184.8,2004,2006,NA,NA,2004,2006,2004,2006
8523,SPENCE,Ontario,6117970,7729,NA,NA,45.55,-79.65,453300000,-793900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
7984,ALGONQUIN PARK EAST,Ontario,6080191,4188,NA,NA,45.53,-78.27,453200000,-781600000,411.5,1961,1972,NA,NA,1961,1972,1961,1972
7985,ALGONQUIN PARK EAST GATE,Ontario,6080192,42967,71581,TNK,45.53,-78.27,453200000,-781600000,397,2004,2016,2004,2016,2004,2016,2005,2006
8437,KATRINE DOE LAKE,Ontario,6114006,4463,NA,NA,45.53,-79.4,453200000,-792400000,305.1,1977,1995,NA,NA,1977,1995,1977,1995
8268,PLANTAGENET,Ontario,6106554,7688,NA,NA,45.52,-74.97,453100000,-745800000,51.5,NA,NA,NA,NA,NA,NA,NA,NA
8314,VANKLEEK HILL,Ontario,6109132,4390,NA,NA,45.52,-74.65,453100000,-743900000,88.4,1896,1961,NA,NA,1896,1961,1902,1961
8360,BEGGSBORO,Ontario,6110679,7699,NA,NA,45.52,-79.43,453100000,-792600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
8514,SCOTIA,Ontario,6117663,4507,NA,NA,45.52,-79.3,453100000,-791800000,390.4,1924,1978,NA,NA,1924,1978,1924,1978
7989,ALGONQUIN (WHITNEY),Ontario,6080A9L,9949,NA,NA,45.5,-78.25,453000000,-781500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
